huge,巨大な
balance,つり合い・バランス
image,像・イメージ
impression,印象
appearance,現れること・見かけ(外観)
attitude,態度
possibility,可能性
absolutely,完全に
adult,成人・大人
kid,子供
ancestor,先祖
crowd,群衆
owner,所有者・持ち主
speaker,話す人
captain,キャプテン
author,著者
director,指導者・監督
immigrant,移民
talent,才能
strict,厳しい・厳密な
severe,厳しい
cruel,残酷な
position,位置・地位
spot,場所
suburb,郊外
region,地方
apartment,アパート
base,土台・基礎
locate,場所を示す
upstairs,階上へ・２階へ
downtown,繁華街へ・中心街
frame,骨組み・わく
edge,ふち・端
surface,表面
section,区域
elsewhere,どこかほかのところで
everywhere,どこでも・いたるところに
gun,銃
weapon,武器
crime,罪・犯罪
poison,毒
alarm,驚き・警報器
shock,衝撃的なこと
thief,泥棒・空き巣
harm,害
risk,危険
steal,盗む
rob,奪う
crash,壊れる・衝突する
assure,保証する
explode,爆発する
pollute,汚染する
ruin,破壊する・台無しにする
arrest,逮捕する
grab,つかむ・つかみ取る
traffic,交通・交通量
transportation,輸送・交通機関
avenue,大通り
path,小道
license,許可・免許証
signal,信号機・合図
fuel,燃料
baggage,手荷物
used,中古の・なれる・(以前は)したものだ
patient,我慢強い・患者
shy,恥ずかしがりの・内気な
blind,目の見えない
funny,おかしい
serious,まじめな・重大な
ability,能力
capacity,収容力
quality,質・品質
technique,技術
craft,工芸
charm,魅力
confidence,信頼
advise,忠告する・助言する
suggest,提案する
recommend,推薦する・勧める
reply,返事をする・答える
describe,描写する
announce,発表する
insist,主張する
publish,出版する
debate,討論・議論
association,協会
committee,委員会
independence,独立・自立
duty,義務
structure,構造
the day before yesterday,おととい
the day after tomorrow,あさって
the other day,先日
these days,このごろ
in those days,そのころ
at that time ,そのころ・当時
once upon a time,昔々
in the future,将来・未来に
of course,もちろん
by the way,ところで
in fact,実際は
for example,例えば
and so on,…など
as … as one can ・ as … as possible,できるだけ…
… as well,同様に
the same … as ~,～と同じ…
… such as ~,～のような…
such … as to do,～するような…
each time …,…するたびに
all the time,いつも
day after day,毎日毎日
day by day,日ごとに
every other day,一日おきに
over and over again,何度も何度も
as usual,いつものように
by chance,偶然に
call up ~,電話をかける
all at …,立ち寄る
call on,訪問する
call for …,大声を出して求める
pull out,引き抜く
point out ~,指摘する
wear out,すり減らす・使い古す
see off ~,見送る
pay attention to …,…に注意を払う
pay a visit to …,訪れる
catch up with …,追いつく
feel sorry for …,…のことを気の毒に思う
remind <人> of …,<人>に…を思い出させる
owe … to ~,…は～のおかげである
take … for granted,…を当然のことと思う
in front of …,…の前(正面)に
in the middle of …,…の真ん中に・…の最中に
at the top of …,…の頂上に
at the bottom of …,…の底に
next to …,…の隣に
out of …,…の中から外に
no longer …,もはや…でない
not … at all,少しも…ない
not always …,いつも…とは限らない
anything but …,決して…ではない・…以外なら何でもする
nothing but …,ただ…だけ・…してばかりいる
far from …,…からは程遠い
by no means …,決して…ない
